=== Log Start ===
Date and Time: 2024-09-19 15:52:38
=== Log Start ===
Timestamp - Logger Name - Log Level - Message

10 - Processing LaunchEvent: a715958e-d1fb-4ea4-8d45-95eb8573172b for missile missile_1
11 - Processing MovementEvent: ecd39557-cf65-4c36-802b-b08e87b039af for entity missile_1
12 - Processing MovementEvent: 25a4665c-1dc9-46eb-ad67-3ebc6901e7ed for entity missile_1
13 - Processing MovementEvent: d173f17b-2000-485f-a9c5-194cd503c82d for entity missile_1
14 - Processing MovementEvent: f840915e-2bb6-4159-aaff-cd73698c94e1 for entity missile_1
15 - Processing MovementEvent: bb82d3e0-699e-4974-892e-10cb8cc112f1 for entity missile_1
16 - Processing MovementEvent: dd3c9125-c78b-46db-aff2-641b83dd9a48 for entity missile_1
17 - Processing MovementEvent: 4642fd16-a3cb-4bde-afbf-997301426186 for entity missile_1
18 - Processing MovementEvent: 4c30b160-d29b-47d9-8004-d35e99fe90bd for entity missile_1
19 - Processing MovementEvent: 2e13135b-13c1-434f-b333-ff5c638b2cc9 for entity missile_1
20 - Processing MovementEvent: f1d5cdcd-3cfe-449b-b2e9-0a0a3ccec77b for entity missile_1
21 - Processing MovementEvent: ec2b9ad0-7563-4fdd-b60c-ad552df4f1c4 for entity missile_1
22 - Processing MovementEvent: 9c55734b-5a88-4102-a81e-1e90352c855b for entity missile_1
23 - Processing MovementEvent: b9fb2012-1753-4933-b44f-247fddd38c57 for entity missile_1
24 - Processing MovementEvent: d25885d4-8dee-49b2-86ef-52fc1b60b755 for entity missile_1
25 - Processing MovementEvent: a4eb10fb-ff3b-4772-848d-f61a540cd2ea for entity missile_1
26 - Processing MovementEvent: 03d1dcc4-2c24-4c10-bbab-24d88a2e51c7 for entity missile_1
27 - Processing MovementEvent: 0aadde54-3c58-4c0c-b1d3-0e2ab2cf1ef8 for entity missile_1
28 - Processing MovementEvent: 9342e0b7-65a7-4075-90cd-dffb504892fc for entity missile_1
29 - Processing MovementEvent: 36983fb3-541c-4128-90bc-7ef3f0f8a90d for entity missile_1
30 - Processing MovementEvent: a51f6bf3-bc98-490a-b6f0-d82fd98eafeb for entity missile_1
31 - Processing MovementEvent: 56f4ae3d-1049-4e51-aa24-bdadef297873 for entity missile_1
32 - Processing MovementEvent: 8bae0c08-79bd-4f0f-9e18-65c546da3b14 for entity missile_1
33 - Processing MovementEvent: 60f8168d-e6c9-4f0e-abcf-d5d2e1f336f1 for entity missile_1
34 - Processing MovementEvent: fc9144f4-ef72-4952-9742-c9264708a7ef for entity missile_1
35 - Processing MovementEvent: a99c8477-2d99-4995-8347-d4c60635fbc9 for entity missile_1
36 - Processing MovementEvent: b5d6c084-2cc6-4617-a8c4-03eca824af6f for entity missile_1
37 - Processing MovementEvent: aaac8e4c-988e-4bf9-8b06-74d50da1f261 for entity missile_1
38 - Processing MovementEvent: 363b6675-00ea-4844-b4cb-3546997a30dc for entity missile_1
